"","grade","time","total","charged_off","default_rate","issue_d"
"1","A","2007 Q3",35,7,0.2,2007 Q3
"2","A","2007 Q4",31,3,0.097,2007 Q4
"3","A","2008 Q1",109,14,0.128,2008 Q1
"4","A","2008 Q2",65,11,0.169,2008 Q2
"5","A","2008 Q3",40,5,0.125,2008 Q3
"6","A","2008 Q4",102,9,0.088,2008 Q4
"7","A","2009 Q1",197,21,0.107,2009 Q1
"8","A","2009 Q2",263,25,0.095,2009 Q2
"9","A","2009 Q3",326,22,0.067,2009 Q3
"10","A","2009 Q4",406,34,0.084,2009 Q4
"11","A","2010 Q1",438,19,0.043,2010 Q1
"12","A","2010 Q2",621,35,0.056,2010 Q2
"13","A","2010 Q3",704,45,0.064,2010 Q3
"14","A","2010 Q4",1060,61,0.058,2010 Q4
"15","A","2011 Q1",1104,65,0.059,2011 Q1
"16","A","2011 Q2",1248,66,0.053,2011 Q2
"17","A","2011 Q3",1644,109,0.066,2011 Q3
"18","A","2011 Q4",1593,126,0.079,2011 Q4
"19","B","2007 Q3",25,7,0.28,2007 Q3
"20","B","2007 Q4",61,26,0.426,2007 Q4
"21","B","2008 Q1",244,71,0.291,2008 Q1
"22","B","2008 Q2",112,33,0.295,2008 Q2
"23","B","2008 Q3",54,16,0.296,2008 Q3
"24","B","2008 Q4",176,35,0.199,2008 Q4
"25","B","2009 Q1",136,26,0.191,2009 Q1
"26","B","2009 Q2",294,48,0.163,2009 Q2
"27","B","2009 Q3",425,72,0.169,2009 Q3
"28","B","2009 Q4",581,89,0.153,2009 Q4
"29","B","2010 Q1",718,100,0.139,2010 Q1
"30","B","2010 Q2",908,141,0.155,2010 Q2
"31","B","2010 Q3",1015,155,0.153,2010 Q3
"32","B","2010 Q4",1020,137,0.134,2010 Q4
"33","B","2011 Q1",1185,125,0.105,2011 Q1
"34","B","2011 Q2",1502,177,0.118,2011 Q2
"35","B","2011 Q3",1801,200,0.111,2011 Q3
"36","B","2011 Q4",1763,229,0.13,2011 Q4
"37","C","2007 Q3",33,18,0.545,2007 Q3
"38","C","2007 Q4",99,53,0.535,2007 Q4
"39","C","2008 Q1",208,96,0.462,2008 Q1
"40","C","2008 Q2",124,50,0.403,2008 Q2
"41","C","2008 Q3",81,28,0.346,2008 Q3
"42","C","2008 Q4",158,42,0.266,2008 Q4
"43","C","2009 Q1",257,54,0.21,2009 Q1
"44","C","2009 Q2",286,76,0.266,2009 Q2
"45","C","2009 Q3",325,76,0.234,2009 Q3
"46","C","2009 Q4",468,122,0.261,2009 Q4
"47","C","2010 Q1",507,131,0.258,2010 Q1
"48","C","2010 Q2",697,159,0.228,2010 Q2
"49","C","2010 Q3",782,159,0.203,2010 Q3
"50","C","2010 Q4",721,178,0.247,2010 Q4
"51","C","2011 Q1",694,113,0.163,2011 Q1
"52","C","2011 Q2",962,175,0.182,2011 Q2
"53","C","2011 Q3",1029,180,0.175,2011 Q3
"54","C","2011 Q4",1046,175,0.167,2011 Q4
"55","D","2007 Q3",24,18,0.75,2007 Q3
"56","D","2007 Q4",73,57,0.781,2007 Q4
"57","D","2008 Q1",186,117,0.629,2008 Q1
"58","D","2008 Q2",94,65,0.691,2008 Q2
"59","D","2008 Q3",55,34,0.618,2008 Q3
"60","D","2008 Q4",82,34,0.415,2008 Q4
"61","D","2009 Q1",181,51,0.282,2009 Q1
"62","D","2009 Q2",155,62,0.4,2009 Q2
"63","D","2009 Q3",161,56,0.348,2009 Q3
"64","D","2009 Q4",306,101,0.33,2009 Q4
"65","D","2010 Q1",331,99,0.299,2010 Q1
"66","D","2010 Q2",478,158,0.331,2010 Q2
"67","D","2010 Q3",560,165,0.295,2010 Q3
"68","D","2010 Q4",492,148,0.301,2010 Q4
"69","D","2011 Q1",519,99,0.191,2011 Q1
"70","D","2011 Q2",711,156,0.219,2011 Q2
"71","D","2011 Q3",754,164,0.218,2011 Q3
"72","D","2011 Q4",661,153,0.231,2011 Q4
"73","E","2007 Q3",24,23,0.958,2007 Q3
"74","E","2007 Q4",72,66,0.917,2007 Q4
"75","E","2008 Q1",146,122,0.836,2008 Q1
"76","E","2008 Q2",57,49,0.86,2008 Q2
"77","E","2008 Q3",38,31,0.816,2008 Q3
"78","E","2008 Q4",43,20,0.465,2008 Q4
"79","E","2009 Q1",83,35,0.422,2009 Q1
"80","E","2009 Q2",62,27,0.435,2009 Q2
"81","E","2009 Q3",77,26,0.338,2009 Q3
"82","E","2009 Q4",80,31,0.388,2009 Q4
"83","E","2010 Q1",103,42,0.408,2010 Q1
"84","E","2010 Q2",202,73,0.361,2010 Q2
"85","E","2010 Q3",337,131,0.389,2010 Q3
"86","E","2010 Q4",301,98,0.326,2010 Q4
"87","E","2011 Q1",367,83,0.226,2011 Q1
"88","E","2011 Q2",425,109,0.256,2011 Q2
"89","E","2011 Q3",415,104,0.251,2011 Q3
"90","E","2011 Q4",412,115,0.279,2011 Q4
"91","F","2007 Q3",23,20,0.87,2007 Q3
"92","F","2007 Q4",28,26,0.929,2007 Q4
"93","F","2008 Q1",62,58,0.935,2008 Q1
"94","F","2008 Q2",19,16,0.842,2008 Q2
"95","F","2008 Q3",19,16,0.842,2008 Q3
"96","F","2008 Q4",9,8,0.889,2008 Q4
"97","F","2009 Q1",22,14,0.636,2009 Q1
"98","F","2009 Q2",17,9,0.529,2009 Q2
"99","F","2009 Q3",30,13,0.433,2009 Q3
"100","F","2009 Q4",35,16,0.457,2009 Q4
"101","F","2010 Q1",31,19,0.613,2010 Q1
"102","F","2010 Q2",55,24,0.436,2010 Q2
"103","F","2010 Q3",103,49,0.476,2010 Q3
"104","F","2010 Q4",113,46,0.407,2010 Q4
"105","F","2011 Q1",175,38,0.217,2011 Q1
"106","F","2011 Q2",181,49,0.271,2011 Q2
"107","F","2011 Q3",156,47,0.301,2011 Q3
"108","F","2011 Q4",171,62,0.363,2011 Q4
"109","G","2007 Q3",13,13,1,2007 Q3
"110","G","2007 Q4",20,20,1,2007 Q4
"111","G","2008 Q1",48,46,0.958,2008 Q1
"112","G","2008 Q2",23,23,1,2008 Q2
"113","G","2008 Q3",8,8,1,2008 Q3
"114","G","2008 Q4",6,6,1,2008 Q4
"115","G","2009 Q1",10,10,1,2009 Q1
"116","G","2009 Q2",9,6,0.667,2009 Q2
"117","G","2009 Q3",12,10,0.833,2009 Q3
"118","G","2009 Q4",21,11,0.524,2009 Q4
"119","G","2010 Q1",16,12,0.75,2010 Q1
"120","G","2010 Q2",17,7,0.412,2010 Q2
"121","G","2010 Q3",44,26,0.591,2010 Q3
"122","G","2010 Q4",54,24,0.444,2010 Q4
"123","G","2011 Q1",59,18,0.305,2011 Q1
"124","G","2011 Q2",45,11,0.244,2011 Q2
"125","G","2011 Q3",43,16,0.372,2011 Q3
"126","G","2011 Q4",39,17,0.436,2011 Q4
