"loan_amnt","region"
0.01,"north dakota"
19.19935,"alaska"
78.47295,"alabama"
43.770875,"arkansas"
136.22385,"arizona"
938.301675,"california"
131.72345,"colorado"
96.067,"connecticut"
19.60165,NA
16.9588,"delaware"
393.29255,"florida"
201.163575,"georgia"
33.5791,"hawaii"
0.114075,"iowa"
0.08835,"idaho"
254.575125,"illinois"
88.057725,"indiana"
55.747575,"kansas"
57.305925,"kentucky"
73.909775,"louisiana"
157.965075,"massachusetts"
153.10195,"maryland"
0.03905,"maine"
147.794925,"michigan"
103.38215,"minnesota"
97.24095,"missouri"
15.449925,"mississippi"
17.3836,"montana"
166.353725,"north carolina"
0.1274,"nebraska"
30.166575,"new hampshire"
251.119775,"new jersey"
35.310025,"new mexico"
81.8832,"nevada"
524.89715,"new york"
195.643675,"ohio"
55.19195,"oklahoma"
74.37645,"oregon"
211.513775,"pennsylvania"
25.51525,"rhode island"
74.712175,"south carolina"
12.205275,"south dakota"
81.8945,"tennessee"
511.328375,"texas"
45.919,"utah"
200.0459,"virginia"
11.191,"vermont"
141.61195,"washington"
76.665875,"wisconsin"
31.62255,"west virginia"
16.421175,"wyoming"
