"","grade","issue_d","loan_amnt"
"2","A",2007,391200
"3","A",2008,1982575
"4","A",2009,8700675
"5","A",2010,24824350
"6","A",2011,51657300
"7","A",2012,121476925
"8","A",2013,270724025
"9","A",2014,444376550
"10","B",2007,817100
"11","B",2008,5449775
"12","B",2009,15695475
"13","B",2010,40253325
"14","B",2011,74656100
"15","B",2012,219668150
"16","B",2013,595681900
"17","B",2014,714870125
"18","C",2007,1166875
"19","C",2008,5127250
"20","C",2009,13182425
"21","C",2010,27447875
"22","C",2011,48099400
"23","C",2012,153419000
"24","C",2013,566868600
"25","C",2014,829532775
"26","D",2007,792550
"27","D",2008,3759325
"28","D",2009,8700125
"29","D",2010,20708000
"30","D",2011,37321675
"31","D",2012,113862325
"32","D",2013,283454100
"33","D",2014,606907625
"34","E",2007,813825
"35","E",2008,2561825
"36","E",2009,3665175
"37","E",2010,11791925
"38","E",2011,31071225
"39","E",2012,70276075
"40","E",2013,161287975
"41","E",2014,299734325
"42","F",2007,616250
"43","F",2008,1236275
"44","F",2009,1328225
"45","F",2010,4570050
"46","F",2011,14562175
"47","F",2012,32853525
"48","F",2013,84410000
"49","F",2014,89035900
"50","G",2007,379675
"51","G",2008,1002225
"52","G",2009,656150
"53","G",2010,2397025
"54","G",2011,4315950
"55","G",2012,6855025
"56","G",2013,19582625
"57","G",2014,29658825
